브랜드,파트넘버,제품명,스팩, 총재고 
Microchip,PIC16F1454T,8-bit USB Microcontroller,"14KB Flash, 1KB RAM, USB 2.0, 12 I/O, 48MHz (PLL), SOIC-14 패키지",18900
TI,MSP430G2333IPW28R(TSSOP),16-bit Ultra-Low Power MCU,"8KB Flash, 512B SRAM, 10-bit ADC, UART/SPI/I²C, 16MHz, 28핀 TSSOP",3614
TI,SN65LBC184D,RS-485/RS-422 Differential Line Transceiver,"1 Driver / 1 Receiver, Half-Duplex, 250kbps, ±12kV ESD, 4.75~5.25V, SOIC-8",2994
Realtek,1SALC5658-ALC5658,Ultra-Low Power Stereo Audio CODEC,"24-bit DAC/ADC, 48kHz, I²S/I²C Interface, Integrated Class-D Amp, QFN 패키지",15708
Realtek,1SALC5660-ALC5660,High-Performance Low-Power Stereo Audio CODEC,"24-bit DAC/ADC, 최대 192kHz, I²S/I²C, Integrated Class-D & Headphone Amp, QFN 패키지",31155
AVAGO,HCPL-0600,High-Speed Optocoupler (Logic Gate Output),"10Mbps, Open Collector Output, 3750Vrms Isolation, 4.5~5.5V, SOIC-8",3846
DRAGONCHIP,DC6688F16SB,8-bit Microcontroller Unit (8051 기반 MCU),"16KB Flash, 64B Data Flash, 256B SRAM, 1 UART, 3 Timer, 19 I/O, SOP-24",6539
RADIO PULS,MG2455-F48(ZigBee),2.4GHz ZigBee SoC Wireless Transceiver,"IEEE 802.15.4/ZigBee, 8051 MCU 내장, 128KB Flash, 8KB SRAM, QFN-48",2500
MICRON,MTFC4GACAJCN-1M WT,4GB e.MMC NAND Flash Memory,"4GB MLC, e.MMC 4.41, Up to 104MB/s, 11.5 × 13 mm VFBGA-153",500
,303BOXRMS2,CASE ,GMON HRTS,690
,303BP2000S,BOARD PLATE,2000SS 5.5~15KW,25
,303CSB020B,CASE,BOTTOM(HHT-2000) 파란색 케이스,42
,303CST020B,CASE,TOP(HHT-2000) 파란색 케이스,42
,303RPYO586,REMOTE S/W PANEL,비상용,91
,303RPYO845,REMOTE S/W PANEL,750*80 사출표판,151
,304BD20126,CHIP BEAD,FCM2012KF-600T09,3047
,304BDJA102,CHIP BEAD,ACMS160808A102,4165
,304BDM601A,CHIP BEAD,MMZ2012S601AT000,1900
,304BDPA600,CHIP BEAD,CB2012PA600T,2443
,304BDPU221,CHIP BEAD,TI160808U221,1844
,304BDS600A,CHIP BEAD,MPZ1608S600ATAH0,1194
,304BTS621T,BATTERY,MS621T,100
,304CA226KA,CAPACITOR,3216 22uF K 25V X5R,1432
,304CA473KB,CAPACITOR,3216 47nF K 50V X7R,32960
,304CA476MP,CAPACITOR,3216 47uF M 10V X5R (MAX 10V),1570
,304CB106KB,CAPACITOR,3225 10uF K 50V X5R,2539
,304CB225KB,CAPACITOR,3225 2.2uF K 50V X7R,2596
,304CB226KP,CAPACITOR,3225 22uF K 10V X5R (16V 사용 가능),11394
,304CC102KK,CAPACITOR,4532 1nF K 3KV X7R,36
,304CC103KJ,CAPACITOR,4532 10nF K 2KV X7R,515
,304CC105KK,CAPACITOR,4532 1uF K 3KV X7R(CC1812KKX7REBB102),803
,304CD102KI,CAPACITOR,4520 1nF K 1000V X7R,2500
,304CD106KB,CAPACITOR,5750 10uF K 50V,183
,304CJ010CB,CAPACITOR,1608 1pF C 50V C0G,1779
,304CJ102KB,CAPACITOR,1608 1nF K 50V X7R,2869
,304CJ103KB,CAPACITOR,1608 10nF K 50V X7R(J급 사용가능),3700
,304CJ105KA,CAPACITOR,1608 1uF K 25V X5R,3176
,304CJ105KO,CAPACITOR,1608 1uF K 16V X5R,1745
,304CJ106KP,CAPACITOR,1608 10uF K 10V X5R,2854
,304CJ106MO,CAPACITOR,1608 10uF M 16V X5R,6024
,304CJ122KB,CAPACITOR,1608 1.2nF K 50V X7R,1773
,304CJ150JB,CAPACITOR,1608 15pF J 50V C0G,18548
,304CJ224KA,CAPACITOR,1608 220nF K 25V X7R,10800
,304CJ225KO,CAPACITOR,1608 2.2uF K 16V X5R,4272
,304CJ225KP,CAPACITOR,1608 2.2uF K 10V X5R,3482
,304CJ226MQ,CAPACITOR,1608 22uF M 6.3V X5R,2867
,304CJ431JB,CAPACITOR,1608 430pF J 50V C0G,2687
,304CJ472KB,CAPACITOR,1608 4.7nF K 50V X7R,3839
,304CJ474KA,CAPACITOR,1608 470nF K 25V X7R,3851
,304CN47501,CONNECTOR,USB Type AB (47589-0001),397
,304CN50674,CONNECTOR,55091-0674(60 PIN),255
,304CNUSB5P,CONNECTOR,Mini USB/MUSB-05-F-AB-SM-A,275
,304CNWR04P,CONNECTOR,12505WR-04,1875
,304CP105KM,CAPACITOR,2012 1uF K 50V X7R / GRM21BR71H105KA12L,1535
,304CP105ZB,CAPACITOR,2012 1uF Z 50V Y5V,987
,304CP106KO,CAPACITOR,2012 10uF K 16V X5R,1717
,304CP154KB,CAPACITOR,2012 150nF K 50V X7R,2000
,304CP226KP,CAPACITOR,2012 22uF M 10V X5R,3416
,304CP226MA,CAPACITOR,2012 22uF M 25V X5R,1840
,304CP270JB,CAPACITOR,2012 27pF J 50V NP0,2340
,304CP273KB,CAPACITOR,2012 27nF K 50V X7R,1776
,304CP330JB,CAPACITOR,2012 33pF J 50V NP0,5238
,304CP333KB,CAPACITOR,2012 33nF K 50V X7R,900
,304CP394KO,CAPACITOR,2012 390nF K 16V X7R,5114
,304CP680KB,CAPACITOR,2012 68pF J 50V NP0,9579
,304CS100JB,CAPACITOR,1005 10pF J 50V C0G,9052
,304CS101JB,CAPACITOR,1005 100pF J 50V C0G,9233
,304CS102KB,CAPACITOR,1005 1nF K 50V X7R,8095
,304CS103KB,CAPACITOR,1005 10nF K 50V X7R,14866
,304CS104KB,CAPACITOR,1005 100nF K 50V X7R,8007
,304CS104KO,CAPACITOR,1005 100nF K 16V X7R,8144
,304CS105KO,CAPACITOR,1005 1uF K 16V X5R,8763
,304CS106KO,CAPACITOR,1005 10uF M 10V X5R,9461
,304CS122KB,CAPACITOR,1005 1.2nF K 50V X7R,7762
,304CS180JB,CAPACITOR,1005 18pF J 50V C0G,15247
,304CS200JB,CAPACITOR,1005 20pF J 50V NP0,19347
,304CS220JB,CAPACITOR,1005 22pF J 50V NP0,8474
,304CS225KO,CAPACITOR,1005 2.2uF K 16V X5R,8296
,304CS270JB,CAPACITOR,1005 27pF J 50V C0G,9402
,304CS391JB,CAPACITOR,1005 390pF J 50V C0G,9347
,304CS475JO,CAPACITOR,1005 4.7uF M 16V X5R,8853
,304CS475KP,CAPACITOR,1005 4.7uF K 10V X5R (M급 16V 사용가능),8672
,304D05G12D,DIODE,LOPIVA 05G12D,6742
,304D12CT1G,DIODE,SD12CT1G,4830
,304D4220CZ,DIODE,IP4220CZ6,780
,304D520S30,DIODE,RB520S30TE61,2591
,304D521SM3,DIODE,RB521SM-30T2R,8222
,304DB240A1,DIODE,B240A-13-F,3855
,304DBAT54C,DIODE,BAT54C / BAT54CLT1G,734
,304DBAV99L,DIODE,BAV99LT1G,8716
,304DBD4148,DIODE,MMBD4148,7109
,304DBJ28CA,DIODE,SMBJ28CA,997
,304DBJ5353,DIODE,SMBJ5353B,2947
,304DBZT52C,DIODE,BZT52C30,781
,304DM5233B,DIODE,ZMM5233B,32500
,304DMAJ24A,DIODE,SMAJ24A,899
,304DMM5250,DIODE,ZMM5250(1N5250),2389
,304DRB160M,DIODE,RB160M-60TR,1669
,304DS1G111,DIODE,S1G_DEC,4581
,304DS2L40A,DIODE,STPS2L40AF,6046
,304DSMCJ13,DIODE,SMCJ13CA,793
,304DSS1601,DIODE,SS16-SMA,3693
,304DSZ4684,DIODE,MMSZ4684T1G(3.3V),3016
,304DTH121U,DIODE,STTH212U,2094
,304DZ4678T,DIODE,MMSZ4678T1G(1.8V),1572
,304DZ5242B,DIODE,MMSZ5242B,75599
,304E10735V,ELEC CAPACITOR,MVK 100uF 35V(6.3*8),424
,304E22735M,ELEC CAPACITOR,MVK 220uF 35V(8*10),337
,304FSMD012,FUSE,FSMD012-1206-R,710
,304FSMD260,FUSE,FSMD260-13R,988
,304LJ036A1,CHIP LED,BL-HG036A-AV-TRB (1608 GREEN),2874
,304LJ136A1,CHIP LED,BL-HS136A / BL-HUF36A-AV-TRB (1608 RED),2466
,304LJ2ERD1,CHIP LED,ECL-1608RD-2E1 저휘도,173
,304LJ2EYG1,CHIP LED,ECL-1608YG-2E1(HY) 저휘도,1660
,304LJ600H1,CHIP LED,FC-DA1608HOK-600H (1608 ORANGE),196887
,304N0735F1,INDUCTOR,SHP0735P-F100A,33
,304N0T100M,INDUCTOR,NR8040T100M,108
,304N102MEC,INDUCTOR,XFL4020-102MEC,403
,304N103KLD,INDUCTOR,SER1360-103KLD,399
,304N103MLD,INDUCTOR,MSS1278-103MLD,396
,304N152MEC,INDUCTOR,XFL4020-152MEC,903
,304N21PN1R,CHIP INDUCTOR,LQM21PN1R5MC0D,3624
,304NC401SK,CHIP INDUCTOR,DLW44SM401SK2,718
,304NE7012P,CHIP INDUCTOR,ACM7060-701-2PL-TL01,879
,304NJ121SN,CHIP INDUCTOR,BLM18EG121SN1,3043
,304NJN100M,CHIP INDUCTOR,LQM18FN100M00D,2731
,304NJN56NG,CHIP INDUCTOR,LQW18AN56NG00D,2614
,304NL81R52,INDUCTOR COIL,ZJYS81R5-2PL51T-G01,850
,304NLP331M,INDUCTOR,LPF7045T-331M,1150
,304NLZJS54,INDUCTOR COIL,ZJS51R5-2PT-01,300
,304NM100WT,CHIP INDUCTOR,MLZ1608M100WT000,3509
,304NM9002P,CHIP INDUCTOR,ACM2012-900-2P-T001,3151
,304NP600NE,CHIP INDUCTOR,CIC21P600NE,663
,304NTI121,CHIP INDUCTOR,TI201209U121 [120R 3A],2877
,304OT24MHZ,OSC,24MHz(SCO-105),568
,304P00205T,PIN HEADER,23063226-00205-TR1(TSM-110-01-T-DV),384
,304PH40FHA,DIP PIN HEADER,A3C-40DA-2SMD / 2.0FH 2X20 SMD,245
,304RA1203F,RESISTOR,3216 F 120K,3000
,304RA1501F,RESISTOR,3216 F 1.5K,3500
,304RA153J1,RESISTOR,3216 J 15K,3011
,304RA1623F,RESISTOR,3216 F 162K,4584
,304RA1802F,RESISTOR,3216 F 18K,4566
,304RA220F1,RESISTOR,3216 F 22R,2900
,304RA3602F,RESISTOR,3216 F 36K,4176
,304RA4700F,RESISTOR,3216 F 470R,20000
,304RA5103F,RESISTOR,3216 F 510K,20539
,304RA5600F,RESISTOR,3216 F 560R,2900
,304RAA000J,RESISTOR ARRAY,064R J 0R (3216*4) / WA06X000JTL,4889
,304RAA104J,RESISTOR ARRAY,064R J 100K (3216*4) / WA06X104JTL,4982
,304RAA220J,RESISTOR ARRAY,064R J 22R (3216*4),4594
,304RAA222J,RESISTOR ARRAY,064R J 2.2K (3216*4) / WA06X222JTL,3100
,304RAA331J,RESISTOR ARRAY,064R J 330R (3216*4),6500
,304RAA471J,RESISTOR ARRAY,064R J 470R (3216*4) / WA06X471JTL,4924
,304RAA681J,RESISTOR ARRAY,064R J 680R (3216*4),5100
,304RAS473J,RESISTOR ARRAY,WA04X473JTL,9789
,304RC162J1,RESISTOR,5025 J 1.6K,2968
,304RC271J1,RESISTOR,5025 J 270R,6716
,304RC331J1,RESISTOR,5025 J 330R,1172
,304RC3602F,RESISTOR,5025 F 36K,3180
,304RC4993F,RESISTOR,5025 F 499K,2880
,304RC750J1,RESISTOR,5025 J 75R,883
,304RD000J1,RESISTOR,6432 J 0R,149
,304RD1503F,RESISTOR,6432 F 150K,3589
,304RD150J1,RESISTOR,6432 J 15R,283
,304RD221J1,RESISTOR,6432 J 220R,1382
,304RD3300F,RESISTOR,6432 F 330R,2467
,304RD472J1,RESISTOR,6432 J 4.7K,3460
,304RD681J1,RESISTOR,6432 J 680R,3792
,304RJ104J1,RESISTOR,1608 J 100K,579
,304RJ105J1,RESISTOR,1608 J 1M,3867
,304RJ111J1,RESISTOR,1608 J 110R,3735
,304RJ1200F,RESISTOR,1608 F 120R,1679
,304RJ1212F,RESISTOR,1608 F 12.1K,2766
,304RJ122J1,RESISTOR,1608 J 1.2K,8200
,304RJ1301F,RESISTOR,1608 F 1.3K,16479
,304RJ1501F,RESISTOR,1608 F 1.5K,15576
,304RJ1543F,RESISTOR,1608 F 154K,3878
,304RJ1872F,RESISTOR,1608 F 18.7K,3873
,304RJ2002F,RESISTOR,1608 F 20K,4865
,304RJ2103F,RESISTOR,1608 F 210K,2776
,304RJ222J1,RESISTOR,1608 J 2.2K,3867
,304RJ2401F,RESISTOR,1608 F 2.4K,2183
,304RJ2612F,RESISTOR,1608 F 26.1K,3866
,304RJ2R7J1,RESISTOR,1608 J 2.7R,8000
,304RJ3001F,RESISTOR,1608 F 3K,3878
,304RJ3304F,RESISTOR,1608 F 3.3M,2759
,304RJ33R0F,RESISTOR,1608 F 33R,10415
,304RJ3402F,RESISTOR,1608 F 34K,3872
,304RJ362J1,RESISTOR,1608 J 3.6K,8200
,304RJ3742F,RESISTOR,1608 F 37.4K,2777
,304RJ4642F,RESISTOR,1608 F 46.4K,3879
,304RJ471J1,RESISTOR,1608 J 470R,2766
,304RJ473J1,RESISTOR,1608 J 47K,10748
,304RJ4871F,RESISTOR,1608 F 4.87K,1840
,304RJ49R9F,RESISTOR,1608 F 49.9R,4915
,304RJ60R4F,RESISTOR,1608 F 60.4R (60R 대체),1671
,304RJ6800F,RESISTOR,1608 F 680R,4863
,304RJ7152F,RESISTOR,1608 F 71.5K,3873
,304RJ7873F,RESISTOR,1608 F 787K,2757
,304RP1053F,RESISTOR,2012 F 105K,7341
,304RP1103F,RESISTOR,2012 F 110K,4893
,304RP1501F,RESISTOR,2012 F 1.5K,8700
,304RP153J1,RESISTOR,2012 J 15K,4510
,304RP1604F,RESISTOR,2012 F 1.6M,2979
,304RP1800F,RESISTOR,2012 F 180R,7400
,304RP1802F,RESISTOR,2012 F 18K,3900
,304RP1803F,RESISTOR,2012 F 180K,1269
,304RP182J5,RESISTOR,2012 J 1.8K,2100
,304RP1912K,RESISTOR,2012 F 19.1K,8300
,304RP1R0J1,RESISTOR,2012 J 1R,16200
,304RP2000F,RESISTOR,2012 F 200R,11742
,304RP2100F,RESISTOR,2012 F 210R,19400
,304RP2200F,RESISTOR,2012 F 220R,93000
,304RP2203F,RESISTOR,2012 F 220K,6000
,304RP220F1,RESISTOR,2012 F 22R,4680
,304RP2260F,RESISTOR,2012 F 226R,14700
,304RP2261F,RESISTOR,2012 F 2.26K,7126
,304RP2490F,RESISTOR,2012 F 249R,4593
,304RP27R0F,RESISTOR,2012 F 27R,9900
,304RP2R20F,RESISTOR,2012 F 2.2R,4893
,304RP2R2J1,RESISTOR,2012 J 2.2R,4589
,304RP2R7J1,RESISTOR,2012 J 2.7R,1800
,304RP3012F,RESISTOR,2012 F 30.1K,25871
,304RP305J1,RESISTOR,2012 J 3M,4690
,304RP3302F,RESISTOR,2012 F 33K,18000
,304RP3303F,RESISTOR,2012 F 330K,23339
,304RP33R0F,RESISTOR,2012 F 33R,4778
,304RP3601F,RESISTOR,2012 F 3.6K,7100
,304RP3902F,RESISTOR,2012 F 39K,3900
,304RP4702F,RESISTOR,2012 F 47K,3397
,304RP470J1,RESISTOR,2012 J 47R,6200
,304RP4753F,RESISTOR,2012 F 475K,5217
,304RP4871F,RESISTOR,2012 F 4.87K,4400
,304RP5102F,RESISTOR,2012 F 51K,20100
,304RP51R0F,RESISTOR,2012 F 51R,28478
,304RP5600F,RESISTOR,2012 F 560R,4800
,304RP6201F,RESISTOR,2012 F 6.2K,2414
,304RP6202F,RESISTOR,2012 F 62K,8076
,304RP6652F,RESISTOR,2012 F 66.5K,9683
,304RP6800F,RESISTOR,2012 F 680R,6900
,304RP6801F,RESISTOR,2012 F 6.8K,16871
,304RP6802F,RESISTOR,2012 F 68K,20015
,304RP7501F,RESISTOR,2012 F 7.5K,4488
,304RP7502F,RESISTOR,2012 F 75K,8092
,304RP75R0F,RESISTOR,2012 F 75R,2800
,304RP7682F,RESISTOR,2012 F 76.8K,9931
,304RP8060F,RESISTOR,2012 F 806R,4714
,304RP8200F,RESISTOR,2012 F 820R,760
,304RP8202F,RESISTOR,2012 F 82K,245
,304RP9091F,RESISTOR,2012 F 9.09K,13900
,304RS000J1,RESISTOR,1005 J 0R,13745
,304RS0750F,RESISTOR,1005 F 75R,1159
,304RS1000F,RESISTOR,1005 F 100R,7728
,304RS1001F,RESISTOR,1005 F 1K,8869
,304RS1002F,RESISTOR,1005 F 10K,7152
,304RS1003F,RESISTOR,1005 F 100K,11213
,304RS1004F,RESISTOR,1005 F 1M,7758
,304RS1022F,RESISTOR,1005 F 10.2K,9093
,304RS103J1,RESISTOR,1005 J 10K,3350
,304RS1202F,RESISTOR,1005 F 12K,9664
,304RS1961F,RESISTOR,1005 F 1.96K,9583
,304RS1R00F,RESISTOR,1005 F 1R,9240
,304RS2002F,RESISTOR,1005 F 20K,9409
,304RS203J1,RESISTOR,1005 J 20K,8858
,304RS2200F,RESISTOR,1005 F 220R,17808
,304RS2201F,RESISTOR,1005 F 2.2K,8926
,304RS22R0F,RESISTOR,1005 F 22R,2982
,304RS2322F,RESISTOR,1005 F 23.2K,9535
,304RS2400F,RESISTOR,1005 F 240R,18856
,304RS2942F,RESISTOR,1005 F 29.4K,9291
,304RS2R20F,RESISTOR,1005 F 2.2R,9144
,304RS3241F,RESISTOR,1005 F 3.24K,9581
,304RS3300F,RESISTOR,1005 F 330R,19571
,304RS3323F,RESISTOR,1005 F 332K,9582
,304RS33R0F,RESISTOR,1005 F 33R,19025
,304RS393J1,RESISTOR,1005 J 39K,8845
,304RS39R0F,RESISTOR,1005 F 39R,9328
,304RS4700F,RESISTOR,1005 F 470R,11206
,304RS4701F,RESISTOR,1005 F 4.7K,8770
,304RS4702F,RESISTOR,1005 F 47K,18374
,304RS471J1,RESISTOR,1005 J 470R,5560
,304RS4871F,RESISTOR,1005 F 4.87K,9946
,304RS4992F,RESISTOR,1005 F 49.9K,818
,304RS49R9F,RESISTOR,1005 F 49.9R,17571
,304RS5101F,RESISTOR,1005 F 5.1K,1160
,304RS5621F,RESISTOR,1005 F 5.62K,18837
,304RS6191F,RESISTOR,1005 F 6.19K,17434
,304RS6800F,RESISTOR,1005 F 680R,9517
,304RS6801F,RESISTOR,1005 F 6.8K,9431
,304RS6802F,RESISTOR,1005 F 68K,9529
,304RS6812F,RESISTOR,1005 F 68.1K,9348
,304S0011AA,SD CARD SOCKET,10NT-0011AAAS09A,892
,304SC3224R,SUPER CAPACITOR,DMS3R3224R,1811
,304SKHS22C,SLIDE SWITCH,KHS22C,2688
,304TA476MP,CHIP TANATL,A 47uF M 10V,1767
,304TB106KA,CHIP TANTAL,B 10uF K 25V,3710
,304TB107KP,CHIP TANTAL,B 100uF K 10V,4624
,304TB476KQ,CHIP TANTAL,B 47uF K 6.3V(M급 가능),542
,304TC106KL,CHIP TANATL,C 10uF K 35V,127
,304TC10835,TANTAL,0.1uF/35V/10%/A,1400
,304TC225KL,CHIP TANATL,C 2.2uF K 35V,622
,304TC475KL,CHIP TANATL,C 4.7uF K 35V,268
,304TC685ML,CHIP TANATL,C 6.8uF M 35V (K급 공용),492
,304TD336KA,CHIP TANTAL,D 33UF K 25V,3894
,304TD476KO,CHIP TANATL,D 47uF K 16V,5143
,304TP105KI,CHIP TANATL,P 1uF M 20V,1439
,304TR1387F,TR,BSS138-7-F,2883
,304TR17MPX,TR,LM1117MPX-3.3,3495
,304TR2SB13,TR,2SB1386,66
,304TR356AP,TR,NDS356AP,1876
,304TR3904S,TR,2N3904S / MMBT3904,2531
,304TR6675B,TR,FDS6675BZ,2431
,304TR7805E,TR,KA7805ERTM,1619
,304TRSM712,TR,SM712.TC,1142
,304V1210NH,CHIP VARISTOR,V18MLA1210NH,1960
,304X10MSX1,X-TAL,10MHz(SX-1),2633
,304X12M20P,X-TAL,"12MHZ(SX-32, 12pF 30ppm)",950
,304X12MSX3,X-TAL,"12MHZ(SX-32, 18pF 30ppm)",6598
,304X12MSX8,X-TAL,"12MHZ(SX-8, 18pF 20ppm)",894
,304X25M11W,X-TAL,ABM11W-25.0000MHZ-8-D1X-T3,763
,304X25MS32,X-TAL,"25MHZ(SX-32, 18pF 20ppm)",837
,304XS32768,X-TAL,SSPT7F-12.5PF20-R [32.768KHZ 12.5PF 20PPM],1751
,305I025E48,IC,24AA025E48T-I/OT,779
,305I04EPWR,IC,TXS0104EPWR,1685
,305I061150,IC,HCPL-0611-500E,955
,305I064AFG,IC,TD62064AFG,1086
,305I101GRI,IC,IP101GRI,742
,305I107VCT,IC,STM32F107VCT6,270
,305I1086S3,IC,FAN1086S33X,341
,305I12F182,IC,PIC12F1822 - I/SL,3057
,305I1432BD,IC,ISO1432BDWR,75
,305I14878A,IC,MAX14878AWE+,20
,305I16502T,IC,MCP16502TAA-E/S8B,348
,305I16T245,IC,SN74AVC16T245DGG,1900
,305I17544A,IC,MAX17544ATP+,2801
,305I1761ES,IC,LT1761ES5-3.3,2100
,305I17623A,IC,MAX17623ATA+,1175
,305I17624A,IC,MAX17624ATA+,1378
,305I1778F1,IC,LPC1778FBD144,5
,305I1ED020,IC,1ED020I12F2XUMA1 (ISO5852SDW 대치품),108
,305I1G125G,IC,74LVC1G125GW,770
,305I20261Y,IC,MIC2026-1YM,1352
,305I24C01C,IC,AT24C01C-SSHM-T / 24C01A-I/SN,2744
,305I2575S5,IC,LM2575SX-5.0,461
,305I2576S5,IC,LM2576D2TR4-5G,749
,305I25N01G,IC,W25N01GVZEIG,4894
,305I25PE16,IC,M25PE16-VMW6TG -> W25Q128JVSSIQ 변경예정,159
,305I26S31S,IC,AM26LS31SC,4
,305I2803AF,IC,"ULN2803AFWG(5,EL,M)",367
,305I28C642,IC,AT28HC64B-12JI,100
,305I29LV16,IC,AM29LV160DB-120EC,302
